Erhebungsmonat;Preissubsystem;Schemanummer;PMS;EP;Laufnummer;Preis_T;Menge_T;Preis_VPK;Menge_VPK;BC;Aktionscode;Ausverkauf;Text;Artikelnummer;Sonderpreis;Fehlende_Preise_R;BemerkungenMitHistorie;Tablet_Informationen;Preis_vor_Reduktion;Menge_vor_Reduktion;Ist_Preisreihe_zu_beenden;"DynamischesFeld1;DynamischesFeld2;DynamischesFeld3;DynamischesFeld4;DynamischesFeld5"
01.12.2016;2;0;7019;5187;3;150;1;;;;0;0;Akkuschrauber;4.122.541;0;;;zeitPos=1|sortNr=6;150;1;0;"Einhell;14.4 V/ 1300nAh;;;"
01.12.2016;2;0;7019;5188;4;200;1;;;;0;0;Motor-Rasenmäher;4.074.612;0;;dito. mg;zeitPos=1|sortNr=76;200;1;0;"Garda;elektrisch;;;"
01.12.2016;2;0;7019;5188;7;260;1;;;;0;0;Motor-Rasenmäher;4.728.265;0;;kann erst im Frühling ersetzt werden. mg;zeitPos=1|sortNr=75;260;1;0;"Bosch;elektrisch;;;"
01.12.2016;2;0;7019;5189;3;80.95;1;;;;0;0;Elektrische Garten- und Heckenscheren;4.728.208;0;;;zeitPos=1|sortNr=74;80.95;1;0;"Bosch;Isio;;;"
01.12.2016;2;0;7019;5189;4;116;1;;;;0;0;Elektrische Garten- und Heckenscheren;3.945.374;0;;;zeitPos=1|sortNr=73;116;1;0;"Bosch;ASB elektrisch;;;"
01.12.2016;2;0;7019;5191;1;128.2;1;;;;1;0;Multifunktionswerkzeug;5.644.516;0;;;zeitPos=1|sortNr=12;160;1;0;"Bosch;190 Watt;;;"
01.12.2016;2;0;7019;5192;1;128.2;1;;;;1;0;Winkelschleifer;4.734.294;0;;;zeitPos=1|sortNr=13;160;1;0;"Bosch Winkelschleifer PWS 1000-125 CE;1000 Watt;;;"
01.12.2016;2;0;7019;5202;1;8.95;1;;;;0;0;Handwerkzeug;4.483.541;0;R;;zeitPos=1|sortNr=25;8.95;1;0;";;;;"
01.12.2016;2;0;7019;5202;2;11.95;1;;;;0;0;Handwerkzeug;4.483.537;0;;;zeitPos=1|sortNr=26;11.95;1;0;";;;;"
01.12.2016;2;0;7019;5202;3;7.95;1;;;;0;0;Handwerkzeug;3.622.693.000;0;;;zeitPos=1|sortNr=24;7.95;1;0;";;;;"
01.12.2016;2;0;7019;5202;4;34.95;1;;;;0;0;Handwerkzeug;4.589.931.000;0;;;zeitPos=1|sortNr=27;34.95;1;0;";;;;"
01.12.2016;2;0;7019;5203;1;17.05;1;;;;1;0;Gartenwerkzeug;3.672.005;0;;;zeitPos=1|sortNr=69;23.95;1;0;";;;;"
01.12.2016;2;0;7019;5203;2;28.95;1;;;;1;0;Gartenwerkzeug;3.251.378;0;;;zeitPos=1|sortNr=70;40.95;1;0;";;;;"
01.12.2016;2;0;7019;5203;3;18.45;1;;;;1;0;Gartenwerkzeug;3.672.008.000;0;;;zeitPos=1|sortNr=72;25.95;1;0;";;;;"
01.12.2016;2;0;7019;5203;4;16.35;1;;;;1;0;Gartenwerkzeug;C-Nr. 3251373;0;;;zeitPos=1|sortNr=71;22.95;1;0;";;;;"
01.12.2016;2;0;7019;5204;1;60.95;1;;;;0;0;Gartenbewässerungszubehör;4.422.726;0;;;zeitPos=1|sortNr=66;60.95;1;0;";;;;"
01.12.2016;2;0;7019;5204;3;20.95;1;;;;0;0;Gartenbewässerungszubehör;3.250.951;0;;;zeitPos=1|sortNr=65;20.95;1;0;";;;;"
01.12.2016;2;0;7019;5204;4;36.95;1;;;;0;0;Gartenbewässerungszubehör;;0;;;zeitPos=1|sortNr=68;36.95;1;0;";;;;"
01.12.2016;2;0;7019;5204;5;28.95;1;;;;0;0;Gartenbewässerungszubehör;4.080.528.000;0;;;zeitPos=1|sortNr=67;28.95;1;0;";;;;"
01.12.2016;2;0;7019;5211;3;55.95;1;;;;0;0;Verlängerungskabel und Steckdosenleiste;4.002.512 oberst.Rei;0;;;zeitPos=1|sortNr=28;55.95;1;0;";;;;"
01.12.2016;2;0;7019;5211;4;6.95;1;;;;0;0;Verlängerungskabel und Steckdosenleiste;4.002.177;0;;;zeitPos=1|sortNr=31;6.95;1;0;";;;;"
01.12.2016;2;0;7019;5212;1;8.95;1;;;;0;0;Taschen- und Handlampen;3.190.201;0;;;zeitPos=1|sortNr=33;8.95;1;0;";;;;"
01.12.2016;2;0;7019;5212;2;5.95;1;;;;0;0;Taschen- und Handlampen;4.252.182;0;;;zeitPos=1|sortNr=32;5.95;1;0;";;;;"
01.12.2016;2;0;7019;5213;3;10.95;1;;;;0;0;Glühlampen, Leuchtstoffröhren;4.881.711;0;;;zeitPos=1|sortNr=29;10.95;1;0;";;;;"
01.12.2016;2;0;7019;5213;8;4.85;1;;;;0;0;Glühlampen, Leuchtstoffröhren;4.043.703;0;R;;zeitPos=1|sortNr=30;4.85;1;0;";;;;"
